order_number,table_number,timestamp,items_summary,universal_comment,order_total,printed_status,items_json
IPP-20260417_023415_147429,IPP,2026-04-17 02:34:17,1x mazada | 670x for 60 month 1.9,,,No (routed),"[{""name"": ""mazada"", ""nameZh"": """", ""category"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""for 60 month 1.9"", ""nameZh"": """", ""category"": """", ""quantity"": 670, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260417_023415_142843,IPP,2026-04-17 02:34:17,1x mazada | 670x for 60 month 1.9,,,No (routed),"[{""name"": ""mazada"", ""nameZh"": """", ""category"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""for 60 month 1.9"", ""nameZh"": """", ""category"": """", ""quantity"": 670, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
